Ano,Título ,Título original,Diretor(a),Gênero,País,Visto em,Nota
2002,O pequeno Stuart Little 2,Stuart Little 2 ,Rob Minkoff,Homem,EUA,-,2
2005,Stuart Little 3 ,Stuart Little 3: Call of the wild ,Audu Paden,Homem,EUA,-,1
2010,De pernars pro ar,De pernas pro ar,Roberto Santicci,Homem,Brasil,-,3
2012,De pernars pro ar 2,De pernars pro ar 2,Roberto Santicci,Homem,Brasil,-,2
2002,Lilo & Stitch,Lilo & Stich,Chris Sanders; Dean DeBlois,Homem,EUA,-,3
2005,Lilo & Stitch 2: Stitch deu defeito,Lilo & Stich 2: Stitch has a glitch,Michael LaBlash; Tony Leondis,Homem,EUA,-,2.5
2012,Anjos da Lei,21 Jump street,Christopher Miller; Phil Lord,Homem,EUA,-,2.5
2009,Mary & Max: uma amizade diferente,Mary and Max,Adam Elliot,Homem,EUA,-,4
2008,Meu nome não é Jhonny,Meu nome não é Jhonny,Mauro Lima,Homem,Brasil,-,4
1955,A dama e vagabundo,Lady and the Tramp,Clyde Geronimi; Hamilton Luske; Wilfred Jackson,Homem,EUA,-,3
2008,O vizinho,Lakeview Terrace,Neil LaBute,Homem,EUA,-,2.5
2009,Monstros vs Aliens,Monsters vs Aliens,Conrad Vemon; Rob Letterman,Homem,EUA,-,2.5
1997,MIB: Homens de preto,Men in Black,Barry Sonnenfeld,Homem,EUA,-,2.5
2002,MIB: Homens de preto 2,Men in Black 2,Barry Sonnenfeld,Homem,EUA,-,2.5
2003,Procurando Nemo,Finding Nemo,Andrew Stanton; Lee Unrich,Homem,EUA,-,4
1995,Bad Boys,Bad Boys,Micheal Bay,Homem,EUA,-,2.5
2003,Bad Boys II,Bad Boys II,Michael Bay,Homem,EUA,-,3
2004,"Eu, robô","I, robot",Alex Proyas,Homem,EUA,-,2.5
2008,O menino dos pijamas listrados,The boy in the striped pyjamas,Mark Herman,Homem,EUA,-,2.5
2004,O espanta tubarões,Shark Tale,Bibo Bergson; Rob Letterman; Vicky Jenson,Ambos,EUA,-,3.5
2008,Hancock,Hancock,Peter Berg,Homem,EUA,-,2.5
2006,À procura da felicidade,The pursuit of happyness,Gabriele Muccino,Homem,EUA,-,3.5
2010,Idas e vindas do amor,Valentine's day,Garry Marshall,Homem,EUA,-,2.5
2010,Amor e outras drogas,Love and other drugs,Edward Zwick,Homem,EUA,-,3
2009,Garota Infernal,Jennifer's Body,Karyn Kusama,Mulher,EUA,-,2
2006,Uma noite no museu,Night at the museum,Shawn Levy,Homem,EUA,-,2.5
2009,Uma noite no museu 2,Night at the museum 2: Battle of Smithsonian,Shawn Levy,Homem,EUA,-,2
2004,Desventuras em série ,Lemony Snicket' A series of unfortunate events,Brad Silberling,Homem,EUA,-,4
2008,Horton e o mundo dos quem,Horton hears a who,Jimmy Hayward; Steve Martino,Homem,EUA,-,3
2004,As branquelas,White Chicks,Keenen Ivory Wayans,Homem,EUA,-,3
2006,Ela é o cara,She's the man,Andy Fickman,Homem,EUA,-,2.5
1996,101 Dálmatas,101 Dalmatians,Stephen Hereck,Homem,EUA,-,3
