Ano,Título ,Título original,Diretor(a),Gênero,País,Visto em,Nota
2010,Além da vida,Hereafter,Clint Eastwood,Homem,EUA,2016,3
2015,Divertidamente,Inside out,Pete Docter,Homem,EUA,2016,5
2013,Os suspeitos ,Prisoners,Denis Villeneuve,Homem,EUA,2016,"4,5"
2015,Bata antes de entrar,Knock Knock,Eli Roth,Homem,EUA,2016,2
2016,Zerando a vida,The do over,Steven Brill,Homem,EUA,2016,"2,5"
2010,Ilha do medo,Shutter Island,Martin Scorsese,Homem,EUA,2016,5
2015,Voltando do Inferno,Hell & back,Ross Shuman; Tom Gianas,Homem,EUA,2016,"2,5"
2010,Você vai conhecer o homem dos seus sonhos,You'll meet a tall dark stranger,Woody Allen,Homem,EUA,2016,3
2010,Um jantar para idiotas,Dinner fot schmucks,Jay Roach,Homem,EUA,2016,2
2010,Como você sabe,How do you know,James L. Brooks,Homem,EUA,2016,"2,5"
2009,Adam,Adam,Max Mayer,Homem,EUA,2016,5
1999,Cluve da luta ,Fight Club,David Fincher,Homem,EUA,2016,4
1993,A lista de Shindler,Shindler's List,Steven Spielberg,Homem,EUA,2016,5
2009,Watchmen: O filme,Watchmen,Zack Snyder,Homem,EUA,2016,5
2012,O funeral do nosso melhor amigo,Best man down,Ted Koland,Homem,EUA,2016,4
2011,Jeff e as armações do destino,Jeff who lives at home,Jay Duplass; Mark Duplass,Homem,EUA,2016,"3,5"
2000,"Eu, eu mesmo e Irene","Me, myself and Irene",Bobby Farrelly; Peter Farrelly,Homem,EUA,2016,3
2012,A viagem,Cloud Atlas,Lana Wachowski; Lily Wachowski; Tom Tyker,Ambos,EUA,2016,4
2011,Piratas do Caribe: Navegando em águas misteriosas,Pirates of Caribbean: On stranger tides,Rob Marshall,Homem,EUA,2016,3
2007,Piratas do Caribe: No fim do mundo,Pirates of Caribbean: At world's End,Gore Verbinski,Homem,EUA,2016,3
2009,O segredo do seus olhos,El secreto de sus ojos,Juan José Campanella,Homem,Argentina,2016,5
2015,Ele está de volta,Er ist Wieder Da,David Wnendt,Homem,Alemanha,2016,3
1982,Gandhi,Gandhi,Richard Attenborough,Homem,Inglaterra,2016,4
2013,Hope,So-Won,Lee Joon-Ik,Homem,Coréia do Sul,2016,5
2014,Relatos Selvagens,Relatos Salvajes,Damián Szifron,Homem,Argentina,2016,5
2014,Lutando contra a AIDS,It's not over,Andrew Jenks,Homem,EUA,2016,3
1975,Um estranho no ninho,One flew over the cuckoo's nest,Milos Forman,Homem,EUA,2016,5
1995,Os 12 macacos,Twelve Monkeys,Terry Guilliam,Homem,EUA,2016,5
1991,Thelma & Louise,Thelma & Louise,Ridley Scott,Homem,EUA,2016,5
2010,O discurso do rei,The King's speech,Tom Hooper,Homem,Inglaterra,2016,5
2016,Esquadrão Suicida,Suicide Squad,David Ayer,Homem,EUA,2016,"1,5"
1996,Trainspotting: Sem limites,Trainspotting,Danny Boyle,Homem,Inglaterra,2016,5
2015,Those people,Those people,Joey Kuhn,Homem,EUA,2016,5
2015,A máscara em que você vive,The mask you live in,Jennifer Siebel Newsom,Mulher,EUA,2016,5
1993,Muito além do cidadão Kane,Beyond Citizen Kane,Simon Hartog,Homem,EUA,2016,4
2014,Terceira pessoa,Third person,Paul Haggis,Homem,EUA,2016,"2,5"
2001,Donnie Darko,Donnie Darko,Richard Kelly ,Homem,EUA,2016,3
2013,Queda livre,Freier Fall,Stephan Lacant ,Homem,Alemanha,2016,3
2005,O segredo de Brokeback Mountain,Brokback Mountain,Ang Lee,Homem,EUA,2016,5
2014,O círculo,Der Kreis,Stephan Haupt,Homem,Suíça,2016,5
2005,Penetras bons de bico,Wedding Crashers,David Dobkin,Homem,EUA,2016,"2,5"
2013,Truque de mestre,Now you see me,Louis Leterrier,Homem,EUA,2016,4
2002,Frida,Frida,Julie Taymor,Mulher,EUA,2016,"0,5"
1989,Harry & Sally: feitos um para o outro,When Harry meet Sally,Rob Reiner,Homem,EUA,2016,"2,5"
2015,Amy,Amy,Asif Kapadia,Homem,EUA,2016,5
2014,Quando sinto que já sei,Quando sinto já sei,Anderson Lima; Antonio Lovato; Raul Perez,Homem,Brasil,2016,4
2013,Com vandalismo,Com vandalismo,-,-,Brasil,2016,"3,5"
2005,Constantine,Constantine,Francis Lawrence,Homem,EUA,2016,5
2009,Capitalismo: uma história de amor,Capitalism: A love Story,Michael Moore,Homem,EUA,2016,4
2008,Segurando as pontas,Pineapple Express ,David Gordon Green,Homem,EUA,2016,3
2013,Uma noite de crime,The Purge,James DeMonaco,Homem,EUA,2016,"2,5"
2014,Suite Francesa,Suite Française,Saul Dibb,Homem,Inglaterra,2016,"2,5"
2016,Doutor Estranho,Doctor Strange,Scott Derrickson,Homem,EUA,2016,"2,5"
2015,O rapaz e o monstro,バケモノの子,Mamoru Hosoda,Homem,Japão,2016,4
2015,Já estou com saudades,Miss You already,Catherine Hardwicke,Mulher,EUA,2016,3
2012,Eungyo - A musa,Eun Gyo,Jung Ji Woo,Homem,Coréia do Sul,2016,5
2008,O leitor,The reader,Stephen Daldry,Homem,EUA,2016,5
1984,Amadeus,Amadeus,Milos Forman,Homem,EUA,2016,"3,5"
1997,Gênio Indomável,Good Will Hunting,Gus Van Sant,Homem,EUA,2016,5
1998,Além da linha vermelha,The thin red line,Terrence Malick,Homem,EUA,2016,4
1999,Tudo sobre minha mãe,Todo sobre mi madre,Pedro Almodóvar,Homem,Espanha,2016,5
2015,Cake - uma razão para viver,Cake,Daniel Barnz,Homem,EUA,2016,2
2011,50%,50/50,Jonathan Levine,Homem,EUA,2016,3.5
2014,Interestelar,Interstallar,Christopher Nolan,Homem,EUA,2016,4
1982,Blade Runner: O caçador de andróides,Blade Runner,Ridley Scott,Homem,EUA,2017,"3,5"
2017,Mulher-maravilha,Wonder Woman,Patty Jenkins,Mulher,EUA,2017,4
2017,Oasis: supersonic,Supersonic,Mat Whitecross,Homem,Ingleterra,2017,5
2015,"Wat happened, Miss Simone?","What happened, Miss Simone?",Liz Garbus,Mulher,EUA,2017,5
2009,Alexandria,Ágora,Alejandro Amenábar,Homem,Espanha,2017,4
2016,Nerve - Um jogo sem regras,Nerve,Ariel Schulman; Henry Joost,Homem,EUA,2017,1
1994,O profissional,Léon,Luc Besson,Homem,EUA,2017,5
1999,Star Wars: Episódio I - A ameaça Fantasma,Star Wars: Episode I - The Phantom Menace,George Lucas,Homem,EUA,2017,5
2002,Star Wars: Episódio II - Ataque dos Clones,Star Wars: Episode II - Attack of the Clones,George Lucas,Homem,EUA,2017,5
2005,Star Wars: Episódio III - A vingança de Sith,Star Wars: Episode III - Reveange of the Sith,George Lucas,Homem,EUA,2017,5
1977,Star Wars: Episódio IV - Uma nova esperança,Star Wars,George Lucas,Homem,EUA,2017,5
1980,Star Wars: Episódio V - O império contra-ataca,Star Wars: Episode V - The empire strikes back,Irvin Kershner,Homem,EUA,2017,5
1983,Star Wars: Episódio IV - O Retorno de Jedi,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,Homem,EUA,2017,5
2016,Rogue One: Uma história Star Wars,Rogue One: Star Wars Story,Gareth Edwards,Homem,EUA,2017,5
2011,Loucamente apaixonados,Like Crazy,Drake Doremus,Homem,EUA,2017,3
2001,Geração Prozac,Prozac Nation,Erik Skjoldbjærg,Homem,EUA,2017,"3,5"
1976,Taxi Driver,Taxi Driver,Martin Scorsese,Homem,EUA,2017,3
2014,Video Game: O filme,Video Games: the movie,Jeremy Snead,Homem,EUA,2017,3
2011,Quebrando o Tabu,Quebrando o Tabu,Fernando Groistein Andrade,Homem,Brasil,2017,3
2016,Crise de meia idade,The late boomer,Kevin Pollak,Homem,EUA,2017,2
2012,As vantagens de ser invisível,The perks of being a wallflower,Stephen Chbosky,Homem,EUA,2017,5
2001,Moulin Rouge: Amor em Vermelho,Moulin Rouge!,Baz Luhrman,Homem,EUA,2017,5
2008,Até que a luz nos leve,Until the light take us,Aaron Aites; Audrey Ewell,Ambos,EUA,2017,3
2011,Eu queria ter a sua vida,The change-up,David Dobkin,Homem,EUA,2017,2
2006,A garota que conquistou o tempo,時をかける少女,Mamoru Hosoda,Homem,Japão,2017,5
2013,O conto da Princesa Kaguya,かぐや姫の物語,Yuichiro Kido; Isao Takahata,Homem,Japão,2017,5
2007,Piano no mori,ピアノの森,Masayuki Kojima,Homem,Japão,2017,5
1982,Pink Floyd - The Wall,Pink Floyd - The Wall,Alan Parker,Homem,Inglaterra,2017,5
2012,Asura,アシュラ,Keiichi Satou,Homem,Japão,2017,5
2017,1922,1922,Zak Hilditch,Homem,EUA,2017,2
2017,Assassinato no Expresso do Oriente,Murder on the Orient Express,Kenneth Branagh,Homem,EUA,2017,3
2013,Parentes são eternos,Søsken til evig tid,Frode Fimland,Homem,Noruega,2017,"2,5"
2013,Eu sou sua,Jeg Er Din,Iram Haq,Mulher,Noruega,2017,3
2013,A hora do Lince,I lossens time,Søren Kragh-Jacobsen,Homem,Dinamarca,2017,5
2004,Closer -  Perto demais,Closer,Mike Nichols,Homem,EUA,2017,5
2016,Pequenas Assas,Tyttö nimeltä Varpu,Selma Vihunen,Mulher,Dinamarca,2017,3
2013,Shed no Tears,Känn Ingen Sorg,Björn Stein; Måns Mårlind,Homem,Suécia,2017,5
2017,It - A coisa,It,Andy Muschiett,Homem,EUA,2017,"2,5"
2011,Assalto ao Banco Central,Assalto ao Banco Central,Marcos Paulo,Homem,Brasil,2018,"2,5"
2018,"Com amor, Van Gogh",Loving Vicent,Dorota Kobiela; Hugh Welchman,Ambos,Inglaterra,2018,5
1977,Alucarda,"Alucarda, la hija de las tinieblas",Juan López Moctezuma,Homem,México,2018,"2,5"
2009,Não esqueça de compartilhar,Chanto Tsutaeru,Sion Sono,Homem,Japão,2018,5
1965,O padre e a moça,O padre e a moça,Joaquim Pedro de Andrade,Homem,Brasil,2018,3
1969,A paixão de Ana,En Passion,Ingmar Bergaman,Homem,Suécia,2018,"3,5"
2000,Réquiem para um sonho,Requiem for a dream,Darren Aronofsky,Homem,EUA,2018,5
2002,Lilya para sempre,Lilya-4-ever,Lukas Moodysson,Homem,Suécia,2018,5
1927,Metrópolis,Metropolis,Fritz Lang,Homem,Alemanha,2018,4
1993,A liberdade é azul,Trois Couleurs: Bleu,Krzysztof Kieslowski,Homem ,França,2018,4
1994,A igualdade é branca,Trois Couleurs: Blanc,Krzysztof Kieslowski,Homem,França,2018,1
1994,A fraternidade é vermelha,Trois Couleurs: Rouge,Krzysztof Kieslowski,Homem,França,2018,5
2015,Que horas ela volta?,Que horas ela volta?,Anna Muylaert,Mulher,Brasil,2018,3
2001,Acordar para a vida,Waking Life,Richard Linklater,Homem,EUA,2018,3
2008,Romance,Romance,Guel Arraes,Homem,Brasil,2018,"3,5"
1991,Roujin Z,Roujin Z,Hiroyuki Kitakubo,Homem,Japão,2018,4
2003,Shara,Sharasojyu,Naomi Kawase,Mulher,Japão,2018,3
2010,Histórias de amor duram apenas 90 minutos,Histórias de amor duram apenas 90 minutos,Paulo Halm,Homem,Brasil,2018,2
2012,Crianças Lobo,おおかみこどもの雨と雪,Mamoru Hosoda,Homem,Japão,2018,"3,5"
2004,O castelo animado,ハウルの動く城,Hayao Miyazaki,Homem,Japão,2018,5
2002,Madame Satã,Madame Satã,Karim Aïnouz,Homem,Brasil,2018,"3,5"
1998,Central do Brasil,Central do Brasil,Walter Salles,Homem,Brasil,2018,5
1994,Amores Expressos,Chong Quing Sen Lin,Wong Kar Wai,Homem,China,2018,5
1985,Tenshi no Tomago,天使のたまご,Mamoru Oshii,Homem,Japão,2018,5
1957,O sétimo selo,Det Sjunde Inseglet,Ingmar Bergaman,Homem,Suécia,2018,5
1953,Contos da Lua Vaga,雨月物語,Kenji Mizoguchi,Homem,Japão,2018,5
1922,Nosferatu,"Nosferatu, eine Symphonie des Grauens",F. W. Mumau,Homem,Alemanha,2018,4
1989,Drugstore Cowboy,Drugstore Cowboy,Gus Van Sant,Homem,EUA,2018,3
2012,Helena,Helena,Petra Costa,Mulher,Brasil,2018,4
2015,O Lagosta,The lobster,Yorgos Lanthimos,Homem,Inglaterra,2018,"2,5"
2003,"Primavera, Verão, Outono, Inverno e... Primavera",Bom Yeoreum Gaeul Gyeoul Geurigo Bom,Ki-duk Kim,Homem,Coréia do Sul,2018,4
2001,Domésticas: O filme,Domésticas,Fernando Meirelles; Nando Olival,Homem,Brasil,2018,3
2012,Uma história de amor e fúria,Uma história de amor e fúria,Luiz Bolognesi,Homem,Brasil,2018,"3,5"
2011,O palhaço,O palhaço,Selton Mello,Homem,Brasil,2018,4
2013,Ninfomaníaca: Volume 2,Nymphomaniac: Volume II,Lars Von Trier,Homem,Dinamarca,2018,3
2003,Encontros e Desencontros,Lost in translation,Sofia Coppola,Mulher,EUA,2018,3
1962,Viver a vida,Vivre sa Vie,Jean-Luc Godard,Homem,França,2018,3
2011,Sala do suicídio,Sala Samobójców,Jan Komasa,Homem,Polônia,2018,"2,5"
2013,Weed - A CNN special report,Weed - A CNN special report,Dr. Sanjay Gupta,Homem,EUA,2018,3
2014,Weed 2 - Cannabis Madness,Weed 2 - Cannabis Madness,Dr. Sanjay Gupta,Homem,EUA,2018,3
2017,Sombras da vida,A ghost story,David Lowery,Homem,EUA,2018,3
1993,Eu posso ouvir o oceano,海がきこえる,Tomomi Mochizuki,Homem,Japão,2018,2
2016,Seu nome,君の名は。,Makoto Shinkai,Homem,Japão,2018,4
2012,Alabama Moroe,The broken Circle Breakdown,Felix Van Groeningen,Homem,Bélgica,2018,5
2012,Amor,Amour,Michael Haneke,Homem,França,2018,3
2011,Medianeras: Buenos Aires da Era do Amor virtual,Medianeras,Gustavo Taretto,Homem,Argentina,2018,5
2018,Pantera Negra,Black Panther,Ryan Coogle,Homem,EUA,2018,3
2011,Um conto chinês,Un cuento chino,Sebastián Borensztein,Homem,Argentina,2018,"3,5"
2010,Eu vi o diabo,Akmareul Boatda,Kim Jee Woon,Homem,Coréia do Sul,2018,"3,5"
2014,Para sempre Alice,Still ALice,Richard Glatzer; Wash Westmoreland,Homem,EUA,2018,5
1987,Hellraiser - Renascido do Inferno,Hellraiser,Clive Barker,Homem,EUA,2018,4
1988,Hellraiser II - Renascido das Trevas,Hellbound: Hellraiser,Tony Randel,Homem,EUA,2018,4
1992,Hellraiser III - Inferno na Terra,Hellraiser III: Hell on earth,Anthony Hichox,Homem,EUA,2018,3
1996,Hellraiser IV - A heraça maldita,Hellraiser: Bloodline,Alan Smithee; Kevin Yagher,Homem,EUA,2018,2
1944,Ódio que mata,The Lodger,John Brahm,Homem,EUA,2018,"3,5"
2007,Persépolis,Persepollis,Marjane Satrapi; Vicent Paronnaud,Ambos,EUA,2018,"3,5"
1955,As diabólicas,Les Diaboliques,Henri-Geogers Clouzot,Homem,França,2018,"3,5"
1947,The ball at the Anjo house,Anjô-ke no butôkai,Kôzaburô Yoshimura,Homem,Japão,2018,3
1986,Veludo Azul,Blue Velvet,David Lynch,Homem,EUA,2018,"2,5"
1922,Haxan - A feitiçaria através dos tempos,Hãxan,Benjamin Christensen,Homem,Dinamarca,2018,"4,5"
1962,O parque macabro,Carnival of souls,Herk Harvey,Homem,EUA,2018,"3,5"
1959,A casa dos maus espíritos,House of a haunted hill,William Castle,Homem,EUA,2018,3
1940,A casa das sete torres,The house of the seven gables,Joe May,Homem,EUA,2018,3
2009,Coco antes de chanel,Coco avant Chanel,Anne Fontaine,Mulher ,França,2018,3
1972,"Snoopy, volte ao lar","Snoopy, come home",Bill Melendez,Homem,EUA,2018,"3,5"
2008,Apenas o fim,Apenas o fim,Matheus Souza,Homem,Brasil,2018,1
1985,A hora da estrela,A hora da estrela,Suzana Amaral,Mulher,Brasil,2018,4
2016,The love witch,The love witch,Anna Biller,Mulher,EUA,2018,3
2011,O substituto,Detachment,Tony Kaye,Homem,EUA,2018,5
2002,Mr. Vingança,Boksuneun Naui Geot,Chan-wook Park,Homem,Coréia do Sul,2018,"3,5"
2003,Oldboy,Oldboy,Chan-wook Park,Homem,Coréia do Sul,2018,"3,5"
2005,Lady Vingança,Chinjeolhan Geumjassi,Chan-wook Park,Homem,Coréia do Sul,2018,"4,5"
2000,Psicopata Americano,American Psycho,Mary Harron,Mulher,EUA,2018,3
1923,O homem mosca,Safety Last!,Fred C. Newmeyer; Sam Taylor,Homem,EUA,2018,"3,5"
1920,O gabinete do Dr. Galigari,Das kabinett des doktor Caligari,Robert Wiene,Homem,Alemanha,2018,5
1959,Guerra e Humanidade I - Não há Amor maior,Ningen no Jôken I,Masaki Kobayashi,Homem,Japão,2018,5
1959,Guerra e Humanidade II - Estrada para a eternindade,Ningen no Jôken II,Masaki Kobayashi,Homem,Japão,2018,"4,5"
1961,Guerra e Humanidade III - Uma prece de soldado,Ningen no Jôken III,Masaki Kobayashi,Homem,Japão,2018,5
1933,"O testamento do Dr, Mabuse",Das testament des Dr. Mabuse,Fritz Lang,Homem,Alemanha,2018,3
2014,"Dois dias, uma noite","Deux Jours, une nuit",Jean-Pierre Dardenne; Luc Dardenne,Homem,França,2018,"0,5"
2008,Era uma vez...,Era uma vez...,Breno Silveira,Homem,Brasil,2018,"2,5"
2016,Mãe só há uma,Mãe só há uma,Anna Muylaert,Mulher,Brasil,2018,2
2015,Jonas e o circo de lona,Jonas e o circo de lona,Paula Gomes,Mulher,Brasil,2018,"3,5"
1980,Holocausto Canibal,Cannibal Holocaust,Ruggero Deodato,Homem,Itália,2018,3
1987,Devilman: O nascimento,Debiruman: Tanjou hen,Umanosuke Lida,Homem,Japão,2018,"3,5"
1988,Cinema Paradiso,Nuovo Cinema Paradiso ,Giuseppe Tornatore,Homem,Itália,2018,5
2000,A flor da pele,Faa yeung nin wa,Wong Kar Wai,Homem,China,2018,4
1997,Felizes Juntos,Chun Gwong Cha sit,Wong Kar Wai,Homem,China,2018,5
1995,Anjos caídos,Duo Luo Tian Shi,Wong Kar Wai,Homem,China,2018,5
1954,O intendente Sansho,Sanshô Dayû,Kenji Mizoguchi,Homem,Japão,2018,5
1976,A profecia,The Omen,Richard Donner,Homem,EUA,2018,3
1991,Tomates verdes fritos,Fried green tomatoes,Jon Avnet,Homem,EUA,2018,"4,5"
2009,O contador de histórias,O contador de histórias,Luiz Vilaça,Homem,Brasil,2018,4
2006,Paprika,Papurika,Satoshi Kon,Homem,Japão,2018,5
2015,O pequeno príncipe,The little prince,Mark Osborne,Homem,França,2018,"4,5"
1989,Cemitério Maldito,Pet Sematary,Mary Lambert,Mulher,EUA,2018,"3,5"
2001,Uma mente brilhante,A beatiful mind,Ron Howard,Homem,EUA,2018,"2,5"
2016,Minha vida de abobrinha ,Ma vie de courgette,Claude Barras,Homem,França,2018,5
2012,Marighella,Marighella,Isa Grinspum Ferraz,Mulher ,Brasil,2018,5
2012,O dia que durou 21 anos,O dia que durou 21 anos,Camilo Tavares,Homem,Brasil,2018,5
2006,Batismo de sangue,Batismo de sangue,Helvecio Ratton,Homem,Brasil,2018,4
1937,Nasce uma estrela,A star is born,Jack Conway; William A. Wellman,Homem,EUA,2018,4
1994,Jeffrey Dahmer - Cofessions of a serial killer,Jeffrey Dahmer - Cofessions of a serial killer,-,Homem,EUA,2018,"2,5"
2007,A guerra contra a democracia,The war on democracy,Chris Martin; John Pilger; Sean Crotty,Homem,EUA,2018,4
2009,Sr. Ninguém,Mr. Nobody,Jaco Van Dormael,Homem,EUA,2018,5
1964,Noite vazia,Noite Vazia,Walter Hugo Khouri,Homem,Brasil,2018,"3,5"
2011,Capitães de areia,Capitães de areia,Cecília Amado; Guy Gonçalves,Ambos,Brasil,2018,"2,5"
2009,Todos contra os dus,"Ed, Edd n Eddy's Big picture show",Danny Antonucci,Homem,EUA,2018,3
1995,Macross Plus,Macross Plus,Shinichirô Watanabe; Shõji Kawamori,Homem,Japão,2018,3
2016,A voz do silêncio,Koe no katachi,Naoko Yamada,Mulher,Japão,2018,3
1947,Monsieur Verdoux,Monsieur Verdoux,Charles Chaplin,Homem,EUA,2018,"3,5"
2007,Uma vez na Noruega,Once upon a time in Norway - The history of Mayhem,Martin Ledang; Pål Aasdal,Homem,Noruega,2018,"3,5"
1994,Vive l'Amour,Ai qing wan sul,Tsai Ming-liang,Homem,Taiwan,2018,5
2013,Mudando o destino,Málmhaus,Ragnar Bragason,Homem,Islândia,2018,3
2013,Uma viagem extraordinária,Lextravagant voyage du jeune et prodigieux T.S. Spivet,Jean-Pierre Jeunet,Homem,França,2018,3
1994,Cinzas do passado Redux,Dung Che sai duk,Wong Kar Wai,Homem,China,2018,5
1964,A mulher da areia,Suna no Onna,Hiroshi Teshigahara,Homem,Japão,2018,"4,5"
1987,Os anos de luz,Gandahar,René Laloux,Homem,França ,2018,3
1999,Matrix,The matrix,Lana Wachowski; Lilly Wachowski,Mulher,EUA,2018,"4,5"
1941,A vingança dos 47 ronin,Genroku Chushingura,Kenji Mizoguchi,Homem,Japão,2018,4
1973,A tragédia de Belladonna,Kanashimi no Belladonna,Eiichi Yammato,Homem,Japão,2018,5
2001,Tão distante,Distance,Hirokazu Koreeda,Homem,Japão,2018,3
2012,Paraísos artificiais,Paraísos artificiais,Marcos Prado,Homem,Brasil,2018,3
2003,Minha vida sem mim,My life without me,Isabel Coixet,Mulher,EUA,2018,"3,5"
2007,Como estrelas na terra,Taare Zameen PAr,Aamir Khan; Amole Gupte,Homem,Índia,2018,5
2017,Thelma,Thelma,Joachim Trier,Homem,França,2018,3
2007,Algém que me ame de verdade,Arranged,Stefan C. Schaefer,Homem,EUA,2018,4
2016,Humano - Uma viagem pela vida,Human,Anastasia Mikova; Yann Arthus-Bertrand,Ambos,França,2018,5
2016,Humano -Uma viagem pela vida vol. 2,Human extended version - vol.2 ,Yann Arthus-Bertrand,Homem,França,2018,5
2016,Humano -Uma viagem pela vida vol. 3,Human extended version - vol.3,Yann Arthus-Bertrand,Homem,França,2018,5
2012,Rock of Ages: O filme,Rock of Ages,Adam Shankman,Homem,EUA,2018,3
1957,Morangos Silvestres,Smultronstället ,Ingmar Bergaman,Homem,Suécia,2018,4
2010,Amores imaginários,Les amours imaginaires,Xavier Dolan,Homem,Canadá,2018,3
2008,Deixa ela entrar,Låt Den Rätte Komma In,Tomas Alfredson,Homem,Suécia,2018,3
1977,O ovo da serpente,Das Schlangenei,Ingmar Bergaman,Homem,Alemanha,2018,3
2002,Amarelo manga,Amarelo manga,Cláudio Assis,Homem,Brasil,2018,3
1968,A hora do lobo,Vargtimmen,Ingmar Bergaman,Homem,Suécia,2018,"1,5"
1998,A outra história americana,American History X,Tony Kaye,Homem,EUA,2018,5
1932,Os meninos de Tóquio,Umarete wa mita keredo,Yasujiro Ozu,Homem,Japão,2018,"2,5"
1945,A espada Bijomaru,名刀美女丸,Kenji Mizoguchi,Homem,Japão,2018,"3,5"
1953,Koibumi,Koibumi,Kinuyo Tanaka,Mulher,Japão,2018,5
1962,Ogin-sama,Ogin-sama,Kinuyo Tanaka,Mulher,Japão,2018,"3,5"
1974,Um homem que dorme,Un homme qui dort,Bernard Queysanne,Homem,França,2018,"3,5"
1994,Lamarca,Lamarca,Sérgio Rezende,Homem,Brasil,2018,"3,5"
1997,"O que é isso, companheiro? ","O que é isso, companheiro? ",Bruno Barreto,Homem,Brasil,2018,
2014,Grandes Olhos,Big Eyes,Tim Burton,Homem,EUA,2019,3
2012,Sombras da noite,Dark shadows,Tim Burton,Homem,EUA,2019,3
2019,Toy Story 4,Toy Story 4,Josh Cooley,Homem,EUA,2019,5
1986,O castelo no Céu,天空の城ラピュタ,Hayao Miyazaki,Homem,Japão,2019,5
2009,Mulan,Hua Mulan,Jingle Ma; Wei Dong,Homem,China,2019,5
1990,Filhos da Guerra,Europa Europa,Agnieszka Holland,Mulher,Polônia,2019,5
2010,Lixo Extraordinário,Waste Land,João Jardim; Karen Harley; Lucy Walker,Ambos,EUA,2019,4.5
1988,Akira,アキラ,Katsushiro Otomoto,Homem,Japão,2019,5
2014,Birdman ou (A inesperada virtuda de ignorância),Birdman or (The unexpected virtue of ignorance),Alejandro González Iñárritu,Homem,EUA,2019,3
2015,O Regresso,The revenant,Alejandro González Iñárritu,Homem,EUA,2019,2.5
1979,O castelo de Cagliostro,ルパン三世 カリオストロの城,Hayao Miyazaki,Homem,Japão,2019,5
1999,O sexto sentido,The sixth sense,M. Night Shyalaman,Homem,EUA,2019,3
2016,"Eu, Daniel Blake","I, Daniel Blake",Ken Loach,Homem,Inglaterra,2019,5
2018,Como superar um fora,Solteira Codiciada,Bruno Ascenzo; Joanna Lombardi,Ambos,Peru,2019,3
1960,Psicose,Psycho,Alfred Hitchcock,Homem,EUA,2019,4
2016,Kubo e as cordas mágicas,Kubo and the two strings,Travis Knight,Homem,EUA,2019,4
2012,Frances Há,Frances Há,Noah Baumbach,Homem,EUA,2019,5
2017,A Ganha-Pão,The breadwinner,Nora Twomey,Mulher,Canadá,2019,5
2018,22 de julho,22 july,Paul Greengrass,Homem,EUA,2019,5
2016,Amanda Knox,Amanda Knox,Brian McGin; Rod Blackhurst,Homem,EUA,2019,4
2010,Minhas mães e meu pai,The kids are all right,Lisa Cholodenko,Mulher,EUA,2019,0.5
2015,Carol,Carol ,Todd Haynes,Homem,EUA,2019,3
2006,Origem: Espíritos do passado,銀色の髪のアギト,Keiichi Sugiyama,Homem,Japão,2019,3
2013,13º Emenda,13th,Ava DuVernay,Mulher,EUA,2019,5
2015,A garota dinamarquesa,The danish girl,Tom Hooper,Homem,EUA,2019,3
2007,XXY,XXY,Lucía Puenzo,Mulher,Argentina,2019,4
2009,Besouro,Besouro,João Daniel Tikhomiroff,Homem,Brasil,2019,3
1995,As praticinhas de Beverly Hills,Clueless,Amy Heckerling,Mulher,EUA,2019,3
1985,The Young Vagabond,Xiao nian Su Qi Er,Sze Yu Lau,Homem,China,2019,3
2002,Cidade de Deus,Cidade de Deus,Fernando Meirelles; Kátia Lund,Ambos,Brasil,2019,5
2015,Cidade de Deus: 10 amos depois,Cidade de Deus: 10 amos depois,Cavi Borges; Luciano Vidigal,Homem,Brasil,2019,5
2003,Kill Bill: Volume 1,Kill Bill: Vol. 1,Quentin Tarantino,Homem,EUA,2019,4
2012,Renoir,Renoir,Guilles Bourdos,Homem,França,2019,3
2014,Frank,Frank,Lenny Abrahamson,Homem,Irlanda,2019,3
2001,Pearl Harbor,Pearl Harbor ,Michael Bay,Homem,EUA,2019,1
2007,Onde os fracos não tem vez,No country for old men,Ethan Coen; Joel Coen,Homem,EUA,2019,3
2014,Selma: Uma luta por Igualdade,Selma,Ava DuVernay,Mulher,EUA,2019,5
2013,12 anos de escravidão,12 years a slave,Steve MacQueen,Homem,Inglaterra,2019,5
2015,A bruxa,The witch: A New-England Folktale,Robert Eggers,Homem,EUA,2019,3
2011,Histórias Cruzadas,The Help,Tate Taylor,Homem,EUA,2019,5
2018,A noite de 12 anos,La noche de 12 años,Álvaro Brechner,Homem,Uruguai,2019,5
2013,Jack e a Mecânica do coração,Jack et la mécanique du coeur,Mathias Malzieu; Stéphane Berla,Homem,França,2019,"2,5"
2015,Spotlight - Segredos revelados,Spotlight,Tom McCarthy,Homem,EUA,2019,4
2014,She's beautiful when she's angry,She's beautiful when she's angry,Mary Dore,Mulher,EUA,2019,5
2002,"Minha linda garota, Mari",마리 이야기,Seong-kang Lee,Homem,Coréia do Sul,2019,4
2016,O peixe grande & begônia,大鱼・海棠,Chun Zhang; Xuan Liang ,Homem,China,2019,"2,5"
1987,Os intocáveis,The untouchables,Brian de Palma,Homem,EUA,2019,"3,5"
2015,Eu sou Sun Mun,I'm Su Mu,Adam Sjöberg,Homem,EUA,2019,"3,5"
2014,O que fazemos nas sombras,What we do in shadows,Jemaine Clement; Taika Waititi,Homem,Nova Zelândia,2019,"3,5"
