TÍTULO,TÍTULO ORIGINAL,AUTOR,TRADUTOR(A),GÊNERO,PAÍS,LIDO EM,NOTA,FORMATO,PÁGINAS,EDITORA,TAG
Assassination Classroom #7,Assassination Classroom #7,Yusei Matsui,,Homem,Japão,2018,5,Mangá,192,Panini,físico
Assassination Classroom #8,Assassination Classroom #8,Yusei Matsui,,Homem,Japão,2018,5,Mangá,180,Panini,físico
O céu dos suicídas,O céu dos suicídas,Ricardo Lísias,-,Homem,Brasil,2018,3,Livro,192,Alfaguara,físico
Akira #5,Akira #5,Katsuhiro Otomo,,Homem,Japão,2018,5,Mangá,416,JBC,online
Akira #6,Akira #6,Katsuhiro Otomo,,Homem,Japão,2018,5,Mangá,440,JBC,online
5 cm/s #1,Byousoku 5 Centimeter #1,Makoto Shinkai,,Homem,Japão,2018,5,Mangá,240,NewPop,físico
5 cm/s #2 ,Byousoku 5 Centimeter #2,Makoto Shinkai,,Homem,Japão,2018,5,Mangá,240,NewPop,físico
Parasita #8,Parasyte #8,Hitoshi Iwaaki,,Homem,Japão,2018,4,Mangá,224,JBC,físico
Parasita #9,Parasyte #9,Hitoshi Iwaaki,,Homem,Japão,2018,4,Mangá,248,JBC,físico
Parasita #10,Parasyte #10,Hitoshi Iwaaki,,Homem,Japão,2018,4,Mangá,232,JBC,físico
Solanin #1,Solanin #1,Inio Asano,,Homem,Japão,2018,5,Mangá,216,L&PM,físico
Solanin #2,Solanin #2,Inio Asano,,Homem,Japão,2018,5,Mangá,224,L&PM,físico
Kafka à beira-mar,Umibe no Kafuka,Haruki Murakami,,Homem,Japão,2018,4,Livro,576,Alfaguara,físico
A redoma de vidro,The bell jar,Sylvia Plath,,Mulher,EUA,2018,5,Livro,280,Biblioteca Azul,físico
All you need is kill #1,All you need is kill #1,Takeshi Obata,,Homem,Japão,2018,3,Mangá,216,JBC,online
All you need is kill #2,All you need is kill #2,Takeshi Obata,,Homem,Japão,2018,3,Mangá,216,JBC,online
Blacksad #1,Blacksad #1,Juan Díaz Canales; Juanjo Guarnido,,Homem,Espanha,2018,4,HQ,50,Sesi-SP,online
Blacksad #2,Blacksad #2,Juan Díaz Canales; Juanjo Guarnido,,Homem,Espanha,2018,4,HQ,60,Sesi-SP,online
Blacksad #3,Blacksad #3,Juan Díaz Canales; Juanjo Guarnido,,Homem,Espanha,2018,4,HQ,62,Sesi-SP,online
Blacksad #4,Blacksad #4,Juan Díaz Canales; Juanjo Guarnido,,Homem,Espanha,2018,5,HQ,56,Sesi-SP,online
Blacksad #5,Blacksad #5,Juan Díaz Canales; Juanjo Guarnido,,Homem,Espanha,2018,4,HQ,56,Sesi-SP,online
Suicidas,Suicidas,Raphael Montes,,Homem,Brasil,2018,2,Livro,432,Cia das Letras,físico
Eden: It's an endless world #1,Eden: It's an endless world #1,Hiroki Endo,,Homem,Japão,2018,5,Mangá,434,JBC,online
Eden: It's an endless world #2,Eden: It's an endless world #2,Hiroki Endo,,Homem,Japão,2018,5,Mangá,450,JBC,online
Eden: It's an endless world #3,Eden: It's an endless world #3,Hiroki Endo,,Homem,Japão,2018,5,Mangá,456,JBC,online
Eden: It's an endless world #4,Eden: It's an endless world #4,Hiroki Endo,,Homem,Japão,2018,5,Mangá,448,JBC,online
Eden: It's an endless world #5,Eden: It's an endless world #5,Hiroki Endo,,Homem,Japão,2018,5,Mangá,450,JBC,online
Eden: It's an endless world #6,Eden: It's an endless world #6,Hiroki Endo,,Homem,Japão,2018,5,Mangá,456,JBC,online
Eden: It's an endless world #7,Eden: It's an endless world #7,Hiroki Endo,,Homem,Japão,2018,5,Mangá,464,JBC,online
Eden: It's an endless world #8,Eden: It's an endless world #8,Hiroki Endo,,Homem,Japão,2018,5,Mangá,456,JBC,online
Eden: It's an endless world #9,Eden: It's an endless world #9,Hiroki Endo,,Homem,Japão,2018,5,Mangá,510,JBC,online
Capitães da Areia,Capitães da Areia,Jorge Amado,,Homem,Brasil,2018,5,Livro,280,Cia de bolso,físico
O cão que guarda as estrelas,Hoshi Mamoru Inu,Takashi Murakami,,Homem,Japão,2018,"4,5",Mangá,132,JBC,físico
Hideout,Hideout,Masasumi Kakizaki,,Homem,Japão,2018,3,Mangá,224,Panini,online
Yu Yu Hakusho #1,Yu Yu Hakusho #1,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,200,JBC,online
Yu Yu Hakusho #2,Yu Yu Hakusho #2,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,200,JBC,online
Yu Yu Hakusho #3,Yu Yu Hakusho #3,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,192,JBC,online
Yu Yu Hakusho #4,Yu Yu Hakusho #4,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,192,JBC,online
Yu Yu Hakusho #5,Yu Yu Hakusho #5,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,208,JBC,online
Yu Yu Hakusho #6,Yu Yu Hakusho #6,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,208,JBC,online
Yu Yu Hakusho #7,Yu Yu Hakusho #7,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,200,JBC,online
Yu Yu Hakusho #8,Yu Yu Hakusho #8,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,192,JBC,online
